Family,Avg Percent Cover Across Species
Liliaceae,2.5234375
Fagaceae,4.524390243902439
Rosaceae,3.4069767441860463
Ericaceae,4.697802197802198
Pinaceae,3.533333333333333
Aceraceae,2.289473684210526
Betulaceae,4.2894736842105265
Rubiaceae,6.583333333333333
Dennstaedtiaceae,15.71875
Primulaceae,1.287037037037037
Berberidaceae,14.0
Cyperaceae,0.6956521739130435
Hamamelidaceae,7.375
Lycopodiaceae,0.7
Monotropaceae,0.5
Celastraceae,4.0
Araceae,1.4666666666666666
Violaceae,3.2857142857142856
Dryopteridaceae,6.586956521739131
Poaceae,1.7941176470588236
Pyrolaceae,5.25
Juglandaceae,1.6666666666666667
Ranunculaceae,2.230769230769231
Saxifragaceae,6.5
Thelypteridaceae,14.552631578947368
Asteraceae,1.3333333333333333
Vitaceae,2.357142857142857
Osmundaceae,27.285714285714285
Oleaceae,2.2142857142857144
Onagraceae,1.625
Scrophulariaceae,0.75
Fabaceae,3.0
Aquifoliaceae,2.0
Orchidaceae,1.0
Cornaceae,0.75
Araliaceae,0.75
Ophioglossaceae,0.5
Anacardiaceae,0.9285714285714286
Rhamnaceae,0.5
Oxalidaceae,0.5
Balsaminaceae,0.5
Geraniaceae,0.5
Apiaceae,1.0
